Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,FunctionalGroup,Species,Classification STUDY,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2,Notes_3
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.95473251,,,1.198018652,6.275720164,,,5.200105907,6,6,PercentageCover,Invertebrates,Ascidians,Diplosoma listerianum,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.748971193,,,2.081141203,3.703703704,,,2.89531837,6,6,PercentageCover,Invertebrates,Ascidians,Diplosoma listerianum,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.411522634,,,1.00802047,6,6,PercentageCover,Invertebrates,Ascidians,Herdmania momus,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,1.440329218,,,1.858697908,6,6,PercentageCover,Invertebrates,Ascidians,Herdmania momus,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.646090535,,,2.860008288,10.90534979,,,4.776145232,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.720164609,,,0.988939493,13.88888889,,,8.551109601,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides leachii,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.504010235,3.189300412,,,3.712267192,6,6,PercentageCover,Invertebrates,Barnacles,Megabalanus coccopoma,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,M. rosa in dataset,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.318764062,1.646090535,,,1.858697908,6,6,PercentageCover,Invertebrates,Barnacles,Megabalanus coccopoma,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,M. rosa in dataset,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,20.16460906,,,6.315230146,50,,,15.34046871,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus variegatus,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,13.3744856,,,6.540491711,58.23045268,,,7.785286074,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus variegatus,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.925925926,,,0.850867207,0.308641975,,,0.516456806,6,6,PercentageCover,Invertebrates,Barnacles,Balanus trigonus,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.131687243,,,0.820469219,0.925925926,,,1.219038127,6,6,PercentageCover,Invertebrates,Barnacles,Balanus trigonus,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.617283951,,,1.512030706,0.102880659,,,0.252005118,6,6,PercentageCover,Invertebrates,Bryozoans,Microporella coronata,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Microporella umbracula in paper,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,4.732510288,,,7.424534385,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Microporella coronata,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,M. sp. in raw data,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.308641975,,,0.516456806,0.205761317,,,0.504010235,6,6,PercentageCover,Invertebrates,Ascidians,Styela plicata,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.504010235,1.234567901,,,1.352401376,6,6,PercentageCover,Invertebrates,Ascidians,Styela plicata,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.028806585,,,0.504010235,0.308641975,,,0.516456806,6,6,PercentageCover,Invertebrates,Bryozoans,Conopeum seurati,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,3.703703704,,,3.469992425,1.440329218,,,1.858697908,6,6,PercentageCover,Invertebrates,Bryozoans,Conopeum seurati,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.514403292,,,0.988939493,0.823045268,,,1.495135977,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus amphitrite,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,1.33744856,,,1.848419315,1.543209876,,,0.936157462,6,6,PercentageCover,Invertebrates,Barnacles,Amphibalanus amphitrite,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,34.6707819,,,6.20260314,8.539094651,,,3.873016142,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,18.10699589,,,5.666473904,12.65432099,,,3.117131154,6,6,PercentageCover,Invertebrates,Polychaetes,Hydroides elegans,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.514403292,,,0.464674477,6,6,PercentageCover,Invertebrates,Bryozoans,Bugula neritina,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.205761317,,,0.504010235,6,6,PercentageCover,Invertebrates,Bryozoans,Celleporaria nodulosa,N,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,C. sp. in raw data,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.318764062,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Celleporaria nodulosa,N,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,C. sp. in raw data,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.514403292,,,0.988939493,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.617283951,,,1.234567901,0,,,0,6,6,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.102880659,,,0.252005118,0.308641975,,,0.516456806,6,6,PercentageCover,Invertebrates,Bryozoans,Watersipora subtorquata,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.102880659,,,0.252005118,1.028806584,,,1.00802047,6,6,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.823045268,,,1.495135977,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,0.0121,0.0081,,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.411522634,,,0.504010235,6,6,PercentageCover,Invertebrates,Bryozoans,Tricellaria inopinata,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.823045268,,,0.504010235,4.526748971,,,2.751360436,6,6,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,0.0121,0.0081,,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,,
