"","effectname","beta","se","percentage_increase_or_decrease_on_treatment","real.effect.value","pval","ci.lb","ci.ub","I2_total","I2_study","I2_Effect_ID","I2_Species","I2_Phylogeny","R2_marginal_fixed","R2_conditional_fixed_random","Moderator_significance_stat","Moderator_significance_pval","AIC"
"intrcpt","intrcpt",-51.7444119137437,94.360675675299,-100,0.0000000000000000000000337044648971955,0.58343897577719,-236.687937794194,133.199113966707,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
"Feature_FunctionalGroup_ClassificationMovement_Algae_NIS","Feature_FunctionalGroup_ClassificationMovement_Algae_NIS",0.180439934331322,0.839651340191033,19.7744176014945,1.19774417601494,0.829846342226496,-1.46524645201389,1.82612632067653,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
"Feature_FunctionalGroup_ClassificationMovement_Ascidians_N","Feature_FunctionalGroup_ClassificationMovement_Ascidians_N",3.84729099493167,2.44789563875097,4586.5931063701,46.865931063701,0.116026453182884,-0.950496294932905,8.64507828479625,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
"Feature_FunctionalGroup_ClassificationMovement_Ascidians_NIS","Feature_FunctionalGroup_ClassificationMovement_Ascidians_NIS",2.96679516758668,2.29951756247091,1842.95512537363,19.4295512537363,0.196987625283871,-1.54017643667364,7.47376677184701,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
"Feature_FunctionalGroup_ClassificationMovement_Barnacles_N","Feature_FunctionalGroup_ClassificationMovement_Barnacles_N",-0.138507262675468,2.46095526739578,-12.9343072052557,0.870656927947443,0.955117229782517,-4.96189095433534,4.6848764289844,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
"Feature_FunctionalGroup_ClassificationMovement_Barnacles_NIS","Feature_FunctionalGroup_ClassificationMovement_Barnacles_NIS",-0.26842851219454,2.55314679696218,-23.541992099185,0.76458007900815,0.916267623163454,-5.27250428148422,4.73564725709514,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
"Feature_FunctionalGroup_ClassificationMovement_Bryozoans_N","Feature_FunctionalGroup_ClassificationMovement_Bryozoans_N",-0.940516878614675,2.24672223548433,-60.9574019644111,0.390425980355889,0.675495817269487,-5.34401154342928,3.46297778619993,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
"Feature_FunctionalGroup_ClassificationMovement_Bryozoans_NIS","Feature_FunctionalGroup_ClassificationMovement_Bryozoans_NIS",-1.57049671863759,2.21606691922877,-79.2058131901334,0.207941868098666,0.478519041472125,-5.91390806765661,2.77291463038143,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
"Feature_FunctionalGroup_ClassificationMovement_Polychaetes_N","Feature_FunctionalGroup_ClassificationMovement_Polychaetes_N",0.0240543548256832,2.504218068553,2.43459945254327,1.02434599452543,0.99233600961425,-4.88412286897266,4.93223157862402,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
"Feature_FunctionalGroup_ClassificationMovement_Polychaetes_NIS","Feature_FunctionalGroup_ClassificationMovement_Polychaetes_NIS",-0.810941321827133,2.6017097719363,-55.5560491355172,0.444439508644828,0.755271920842522,-5.9101987730482,4.28831612939393,99.9999302511083,18.5166576046069,0.818070770655712,0.0000453248002823019,22.7870989082703,36.0081374774193,85.4181008230221,57.1069402495967,0.0000592382545806203,4830.40123139794
