"","effectname","beta","se","percentage_increase_or_decrease_on_treatment","real.effect.value","pval","ci.lb","ci.ub","I2_total","I2_study","I2_study_experiment","I2_study_experiment_duration","I2_Effect_ID","I2_Species","I2_Phylogeny","R2_marginal_fixed","R2_conditional_fixed_random","Moderator_significance_stat","Moderator_significance_pval","AIC"
"Feature_FunctionalGroupMovement_Algae","Feature_FunctionalGroupMovement_Algae",0.263039733339463,1.58722462303519,30.0878406168178,1.30087840616818,0.868374891833377,-2.84786336318467,3.3739428298636,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupMovement_Ascidians","Feature_FunctionalGroupMovement_Ascidians",2.50883074270799,1.51185393450541,1129.05508394522,12.2905508394522,0.0970271816663422,-0.45434851880779,5.47201000422376,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupMovement_Barnacles","Feature_FunctionalGroupMovement_Barnacles",0.380061704909809,1.63995845514578,46.237482235681,1.46237482235681,0.816731562670973,-2.83419780331787,3.59432121313749,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupMovement_Bryozoans","Feature_FunctionalGroupMovement_Bryozoans",-0.473109609010666,1.42373025398117,-37.6938225749912,0.623061774250088,0.739660594448126,-3.26356963051381,2.31735041249248,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupMovement_Polychaetes","Feature_FunctionalGroupMovement_Polychaetes",-0.144811776344377,1.66437489755361,-13.4814873907025,0.865185126092975,0.930666182204479,-3.40692663232199,3.11730307963324,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupOrientation_Algae","Feature_FunctionalGroupOrientation_Algae",-0.438271776310311,1.57138277814643,-35.4849577572434,0.645150422427566,0.780315161115245,-3.51812542740381,2.64158187478319,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupOrientation_Ascidians","Feature_FunctionalGroupOrientation_Ascidians",4.03871339018618,1.42111462516864,5575.32764891312,56.7532764891312,0.00448408309254918,1.2533799069525,6.82404687341986,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupOrientation_Barnacles","Feature_FunctionalGroupOrientation_Barnacles",0.428990370608667,1.59232610571607,53.570624640973,1.53570624640973,0.787613324546145,-2.69191144823775,3.54989218945508,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupOrientation_Bryozoans","Feature_FunctionalGroupOrientation_Bryozoans",1.2193771346203,1.36051945425979,238.507862855998,3.38507862855998,0.370114714459776,-1.44719199599498,3.88594626523559,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupOrientation_Polychaetes","Feature_FunctionalGroupOrientation_Polychaetes",1.14816636662233,1.60123531633296,215.24072477699,3.1524072477699,0.473343020990679,-1.99019718416387,4.28652991740853,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
"Feature_FunctionalGroupSubstrate_Bivalves","Feature_FunctionalGroupSubstrate_Bivalves",-0.841618234425977,1.65266017583863,-56.8987520450342,0.431012479549658,0.610576559079516,-4.08077265775333,2.39753618890137,99.9999138402597,17.964357212999,0.881155780163286,0.0000735262551142153,29.0445431443918,9.56647040093722,10.0743221421056,29.8602317758285,79.6282072044704,37.6844571087473,0.000088430535115499,4879.61940390286
