,Effect_ID,Study,Author,Year,Journal,Study.on.NIS.,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification.STUDY,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Control,Treatment,Depth,Depthmeter,End..Y.N.,Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Year..start.,Month..start.,Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded.Unshaded,Shading.held.constant,Source.of.data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2,Notes_3,Study_Experiment,Study_Location,Study_Experiment_Duration,Feature_Classification,Feature_TaxonomicGroup,TaxonomicGroup_Classification,Feature_TaxonomicGroup_Classification,Exp_ID,num_instances,Feature_Study,Feature_Study_Location,Feature_Study_Experiment_Duration,Feature_Species,Feature_Species_Classification,unique_types,reducedReplicatesControl,reducedReplicatesTreatment,yi,vi,Phylogeny
1158,932,Chase_2015,Chase,2015,Thesis,Y,0.33333333,NA,0.16666667,0.408248299,0.0058,NA,0.33333333,0.816496573,6,6,PercentageCover,Invertebrates,Bivalves,Anomia simplex,N,0.01,0.0064,NA,Rock,Polymer,NA,NA,N,Exp1,"University of New Hampshire Coastal Marine Laboratory in New Castle, NH",6 weeks,42,6,1.380821313,2014,May,"43°04'14.5""N","70°42'46.5""W",USA,Substrate,,downfacing,floating,,,,Figure 2.7,Polymer,Granite,,,Original dataset,,Chase_2015_Exp1,"Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Chase_2015_Exp1_6 weeks,Substrate_N,Substrate_Bivalves,Bivalves_N,Substrate_Bivalves_N,109,3,Substrate_Chase_2015,"Substrate_Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Substrate_Chase_2015_Exp1_6 weeks,Substrate_Anomia simplex,Substrate_Anomia simplex_N,1,3,6,-2.0261891,8258.937497,Anomia simplex
1038,357,Holloway and Connell_2002,Holloway and Connell,2002,MEPS,No,0.0058,0.181818,0.181818,0.314918014,0.181818,0.545455,0.363637,0.62983776,3,3,PercentageCover,Invertebrates,Bryozoans,Bugula (genus in Opisthokonta),NIS,0.1458,0.1458,NA,Wood,Polymer,subtidal,,Y,Exp2,"Sydney Harbour, Cockatoo Island",9 months,273.7503,39.10716,9,2000,March,33.8462° S,151.2489° E,Australia,Substrate,,Vertical,Floating,,,,Figure 4+5,Plastic,Wood,,,,,Holloway and Connell_2002_Exp2,"Holloway and Connell_2002_Sydney Harbour, Cockatoo Island",Holloway and Connell_2002_Exp2_9 months,Substrate_NIS,Substrate_Bryozoans,Bryozoans_NIS,Substrate_Bryozoans_NIS,622,2,Substrate_Holloway and Connell_2002,"Substrate_Holloway and Connell_2002_Sydney Harbour, Cockatoo Island",Substrate_Holloway and Connell_2002_Exp2_9 months,Substrate_Bugula neritina,Substrate_Bugula neritina_NIS,1,3,3,1.7228677,2466.839149,Bugula (genus in Opisthokonta)
1028,347,Holloway and Connell_2002,Holloway and Connell,2002,MEPS,No,6.72727,10.5455,3.81823,6.613368355,0.0058,0.181818,0.181818,0.314918014,3,3,PercentageCover,Invertebrates,Bryozoans,Bugula (genus in Opisthokonta),NIS,0.1458,0.1458,NA,Fixed,Floating,,,Y,Exp2,"Sydney Harbour, Cockatoo Island",9 months,273.7503,39.10716,9,2000,March,33.8462° S,151.2489° E,Australia,Movement,Wood,Vertical,,No-max difference 2m,Shaded,Yes,Figure 4+5,,,,Pylon,,,Holloway and Connell_2002_Exp2,"Holloway and Connell_2002_Sydney Harbour, Cockatoo Island",Holloway and Connell_2002_Exp2_9 months,Movement_NIS,Movement_Bryozoans,Bryozoans_NIS,Movement_Bryozoans_NIS,621,2,Movement_Holloway and Connell_2002,"Movement_Holloway and Connell_2002_Sydney Harbour, Cockatoo Island",Movement_Holloway and Connell_2002_Exp2_9 months,Movement_Bugula neritina,Movement_Bugula neritina_NIS,1,3,3,-3.539523133,2457.670761,Bugula (genus in Opisthokonta)
1157,931,Chase_2015,Chase,2015,Thesis,Y,0.33333333,NA,0.16666667,0.408248299,0.16666667,NA,2.44948974,5.999999993,6,6,PercentageCover,Invertebrates,Bivalves,Anomia simplex,N,0.01,0.0064,NA,Rock,Concrete,NA,NA,N,Exp1,"University of New Hampshire Coastal Marine Laboratory in New Castle, NH",6 weeks,42,6,1.380821313,2014,May,"43°04'14.5""N","70°42'46.5""W",USA,Substrate,,downfacing,floating,,,,Figure 2.7,Concrete,Granite,,,Original dataset,,Chase_2015_Exp1,"Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Chase_2015_Exp1_6 weeks,Substrate_N,Substrate_Bivalves,Bivalves_N,Substrate_Bivalves_N,109,3,Substrate_Chase_2015,"Substrate_Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Substrate_Chase_2015_Exp1_6 weeks,Substrate_Anomia simplex,Substrate_Anomia simplex_N,1,3,6,-0.346851863,541.8536648,Anomia simplex
1185,959,Chase_2015,Chase,2015,Thesis,Y,2.6,NA,3.12409987,7.652450587,0.2,NA,1.43527001,3.515679168,6,6,PercentageCover,Invertebrates,Bivalves,Anomia simplex,N,0.01,0.0064,NA,Rock,Polymer,NA,NA,Y,Exp1,"University of New Hampshire Coastal Marine Laboratory in New Castle, NH",24 weeks,168,24,5.52328525,2014,May,"43°04'14.5""N","70°42'46.5""W",USA,Substrate,,downfacing,floating,,,,Figure 2.7,Polymer,Granite,,,Original dataset,,Chase_2015_Exp1,"Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Chase_2015_Exp1_24 weeks,Substrate_N,Substrate_Bivalves,Bivalves_N,Substrate_Bivalves_N,108,3,Substrate_Chase_2015,"Substrate_Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Substrate_Chase_2015_Exp1_24 weeks,Substrate_Anomia simplex,Substrate_Anomia simplex_N,1,3,6,-1.286516347,136.2690413,Anomia simplex
1184,958,Chase_2015,Chase,2015,Thesis,Y,2.6,NA,3.12409987,7.652450587,4.4,NA,10.73312629,26.29068276,6,6,PercentageCover,Invertebrates,Bivalves,Anomia simplex,N,0.01,0.0064,NA,Rock,Concrete,NA,NA,Y,Exp1,"University of New Hampshire Coastal Marine Laboratory in New Castle, NH",24 weeks,168,24,5.52328525,2014,May,"43°04'14.5""N","70°42'46.5""W",USA,Substrate,,downfacing,floating,,,,Figure 2.7,Concrete,Granite,,,Original dataset,,Chase_2015_Exp1,"Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Chase_2015_Exp1_24 weeks,Substrate_N,Substrate_Bivalves,Bivalves_N,Substrate_Bivalves_N,108,3,Substrate_Chase_2015,"Substrate_Chase_2015_University of New Hampshire Coastal Marine Laboratory in New Castle, NH",Substrate_Chase_2015_Exp1_24 weeks,Substrate_Anomia simplex,Substrate_Anomia simplex_N,1,3,6,0.2661259,22.67749223,Anomia simplex
1474,1433,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.33,NA,0.58,1.004589468,1,NA,1.73,2.996447897,3,3,PercentageCover,Invertebrates,Ascidians,Botryllus schlosseri,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,104 days,104,14.85714286,3.419174335,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_104 days,Orientation_N,Orientation_Ascidians,Ascidians_N,Orientation_Ascidians_N,569,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_104 days,Orientation_Botryllus schlosseri,Orientation_Botryllus schlosseri_N,1,3,3,0.555453457,15.27230676,Botryllus schlosseri
1464,1423,Hatcher_1998,Hatcher,1998,Hydrobiologia,N,0.67,NA,1.15,1.991858429,0.33,NA,0.58,1.004589468,3,3,PercentageCover,Invertebrates,Hydrozoans,Ectopleura larynx,N,400cm2,,NA,upfacing,downfacing,12m,12,N,Exp1,Poole Bay,286 days,286,40.85714286,9.402729422,1991,May,50o39'72'N,01o54'79'W,United Kingdom,Orientation,Coal Waste,,Fixed,Yes,Unshaded,No,Tables 1+2+3,,,Orientation_updown,,Tubularia larynx in paper,,Hatcher_1998_Exp1,Hatcher_1998_Poole Bay,Hatcher_1998_Exp1_286 days,Orientation_N,Orientation_Hydrozoans,Hydrozoans_N,Orientation_Hydrozoans_N,591,1,Orientation_Hatcher_1998,Orientation_Hatcher_1998_Poole Bay,Orientation_Hatcher_1998_Exp1_286 days,Orientation_Ectopleura larynx,Orientation_Ectopleura larynx_N,1,3,3,-0.354661282,15.13804563,Ectopleura larynx
1399,1358,Rico et al._2012,Rico et al.,2012,Helgoland Marine Research,N,0.5,NA,1,2,0.0058,NA,0,0.014,4,4,PercentageCover,Algae,Algae,Ceramium rubrum,N,400cm2,100cm2,NA,upfacing,downfacing,4m,4,Y,Exp4,Comodoro Rivadavia harbour,12 months,365.0004,52.14288,12,2004,October,"45°51'35""S","67°27'23""W",Argentina,Orientation,Polyethylene,,Fixed,Yes,Unshaded,No,Supplementary,,,Orientation_updown,,,,Rico et al._2012_Exp4,Rico et al._2012_Comodoro Rivadavia harbour,Rico et al._2012_Exp4_12 months,Orientation_N,Orientation_Algae,Algae_N,Orientation_Algae_N,906,1,Orientation_Rico et al._2012,Orientation_Rico et al._2012_Comodoro Rivadavia harbour,Orientation_Rico et al._2012_Exp4_12 months,Orientation_Ceramium rubrum,Orientation_Ceramium rubrum_N,1,4,4,-2.229200289,13.67512307,Ceramium rubrum
2193,2193,Lee_2018,Lee,2018,Thesis,Y,11.66666667,NA,NA,28.57738033,0.0058,NA,NA,0.014,6,6,PercentageCover,Invertebrates,Ascidians,Ciona intestinalis,NIS,0.0121,0.01,NA,vertical,upfacing,1m,1,Y,Exp10,North Haven,13 weeks,91,13,2.99177951,2016,June,"35°30'5""S","138°14'38""E",Australia,Orientation,Wood,,floating,,,,raw data supplied,,,Orientation_updown,,,,Lee_2018_Exp10,Lee_2018_North Haven,Lee_2018_Exp10_13 weeks,Orientation_NIS,Orientation_Ascidians,Ascidians_NIS,Orientation_Ascidians_NIS,674,8,Orientation_Lee_2018,Orientation_Lee_2018_North Haven,Orientation_Lee_2018_Exp10_13 weeks,Orientation_Ciona intestinalis,Orientation_Ciona intestinalis_NIS,2,2,3,-3.823641082,13.00771443,Ciona intestinalis
