"","effectname","beta","se","percentage_increase_or_decrease_on_treatment","real.effect.value","pval","ci.lb","ci.ub","I2_total","I2_study","I2_Effect_ID","I2_Species","I2_Phylogeny","R2_marginal_fixed","R2_conditional_fixed_random","Moderator_significance_stat","Moderator_significance_pval","AIC"
"Feature_TaxonomicGroupMovement_Algae","Feature_TaxonomicGroupMovement_Algae",-0.17738492982312,0.178236880064002,-16.2542639841918,0.837457360158082,0.319629216468116,-0.526722795465349,0.171952935819109,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupMovement_Ascidians","Feature_TaxonomicGroupMovement_Ascidians",0.737805530661453,0.184323004354229,109.134109127645,2.09134109127645,0.0000626009375522137,0.376539080604945,1.09907198071796,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupMovement_Barnacles","Feature_TaxonomicGroupMovement_Barnacles",0.526448962658681,0.159592122664027,69.2910035536907,1.69291003553691,0.000971283953798593,0.213654150020889,0.839243775296474,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupMovement_Bivalves","Feature_TaxonomicGroupMovement_Bivalves",1.39070785563811,0.314420022458605,301.769299331736,4.01769299331736,0.00000972994737062222,0.774455935600974,2.00695977567525,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupMovement_Bryozoans","Feature_TaxonomicGroupMovement_Bryozoans",-0.165022723657674,0.150065985374586,-15.212556293945,0.84787443706055,0.271476913531388,-0.459146650296377,0.12910120298103,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupMovement_Polychaetes","Feature_TaxonomicGroupMovement_Polychaetes",-0.158897800944001,0.166992959853698,-14.6916461153436,0.853083538846564,0.341338466087198,-0.486197987928992,0.168402386040991,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupMovement_Poriferans","Feature_TaxonomicGroupMovement_Poriferans",0.000164036705656627,0.272748946516992,0.0164050160412765,1.00016405016041,0.9995201361962,-0.534414075288889,0.534742148700203,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupOrientation_Algae","Feature_TaxonomicGroupOrientation_Algae",-0.660965284605168,0.24914573552845,-48.3647333427693,0.516352666572307,0.0079797282331893,-1.14928195314267,-0.172648616067664,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupOrientation_Anthozoans","Feature_TaxonomicGroupOrientation_Anthozoans",0.572631930897188,0.329066302023979,77.292713794366,1.77292713794366,0.0818288387808377,-0.0723261695955896,1.21759003138997,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupOrientation_Ascidians","Feature_TaxonomicGroupOrientation_Ascidians",0.200856807526951,0.149008397700003,22.2449713692441,1.22244971369244,0.177672440347661,-0.0911942853590764,0.492907900412978,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupOrientation_Barnacles","Feature_TaxonomicGroupOrientation_Barnacles",0.288555836268406,0.142499374263698,33.4498860879245,1.33449886087924,0.0428712531198832,0.00926219489206398,0.567849477644747,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupOrientation_Bivalves","Feature_TaxonomicGroupOrientation_Bivalves",0.319478501571417,0.335261038622726,37.6409781600603,1.3764097816006,0.34062825918664,-0.337621059548617,0.976578062691451,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupOrientation_Bryozoans","Feature_TaxonomicGroupOrientation_Bryozoans",0.0711205836536436,0.110738249254528,7.37106900205291,1.07371069002053,0.520717069249221,-0.145922396596251,0.288163563903538,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupOrientation_Polychaetes","Feature_TaxonomicGroupOrientation_Polychaetes",0.339761106819446,0.153016177649344,40.4611998252126,1.40461199825213,0.0263898604102744,0.0398549095747483,0.639667304064144,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupOrientation_Poriferans","Feature_TaxonomicGroupOrientation_Poriferans",0.0634315375819064,0.297064176192771,6.54865375195828,1.06548653751958,0.83091510413082,-0.518803548852985,0.645666624016798,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupSubstrate_Ascidians","Feature_TaxonomicGroupSubstrate_Ascidians",0.0745262408615378,0.148548410850803,7.73736143631667,1.07737361436317,0.615880917669759,-0.216623294366695,0.365675776089771,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupSubstrate_Barnacles","Feature_TaxonomicGroupSubstrate_Barnacles",-0.155615715741681,0.146299298098315,-14.4111968519878,0.855888031480122,0.287473445011706,-0.442357070977868,0.131125639494505,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupSubstrate_Bryozoans","Feature_TaxonomicGroupSubstrate_Bryozoans",0.0780538813197905,0.113568540640033,8.11809125551717,1.08118091255517,0.49190355511293,-0.144536368111447,0.300644130751028,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
"Feature_TaxonomicGroupSubstrate_Polychaetes","Feature_TaxonomicGroupSubstrate_Polychaetes",0.43771186250971,0.15703198689906,54.9158472470955,1.54915847247096,0.00531319079345211,0.129934823766786,0.745488901252634,8.34730219438726,2.58844470967676,2.37230511461216,3.38116702291879,0.00538534717955988,40.895761444353,83.2025624380656,131.557652220232,0.000000000000000000739176937379476,5139.85633200866
